	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
59	8.149145833333334	7.666194444444445	8.692777777777778	8.689305555555556	4.941805555555556	3.4746666666666663	5.105951388888888	-7.918986111111112	-9.224805555555555	-9.29629861111111	-9.777708333333333	-10.286805555555555	-10.299930555555555	-9.357152777777777	-8.489722222222222
60	7.731147569444445	8.093359375	8.544045138888889	8.76548611111111	5.103498263888889	3.3354548611111112	4.626677083333333	-11.281696180555555	-10.990013888888889	-10.200967013888889	-10.195763888888889	-10.064618055555556	-9.673472222222223	-8.643947916666667	-7.891500000000001
61	7.731989583333333	8.096269097222223	8.549027777777777	8.770868055555557	5.117986111111112	3.340402777777778	4.627418402777778	-10.42449826388889	-10.911256944444444	-10.169128472222223	-10.179114583333334	-9.963385416666668	-9.523854166666666	-8.571760416666667	-7.859817708333334
62	7.7716996527777775	8.133586805555556	8.581649305555555	8.79904513888889	5.129361111111111	3.346001736111111	4.629595486111111	-10.03218576388889	-10.592894097222223	-9.863105902777779	-9.925965277777777	-9.794444444444444	-9.409270833333334	-8.499147569444444	-7.817385416666666
63	7.801239583333334	8.170404513888888	8.6271875	8.835989583333333	5.1447690972222215	3.3520555555555553	4.624510416666666	-10.811803819444444	-10.532572916666666	-9.717873263888889	-9.728635416666666	-9.592430555555556	-9.266666666666667	-8.424777777777777	-7.771470486111111
64	7.80354861111111	8.171848958333333	8.62873263888889	8.838559027777777	5.158222222222222	3.3589947916666665	4.631336805555556	-10.087187499999999	-10.45537326388889	-9.710427083333334	-9.740876736111112	-9.546979166666667	-9.157118055555555	-8.341965277777778	-7.720121527777778
65	7.871718749999999	8.23104513888889	8.6809375	8.877847222222222	5.1700625	3.3645590277777777	4.6372534722222225	-8.764109375	-9.816916666666668	-9.187286458333332	-9.342046875000001	-9.345503472222223	-9.055642361111111	-8.203100694444444	-7.668230902777777
66	7.906147569444444	8.273295138888889	8.72484375	8.923090277777778	5.191380208333333	3.3709826388888886	4.649421875	-9.601512152777778	-9.758491319444445	-9.033701388888888	-9.111909722222222	-9.108637152777778	-8.89625	-8.022921875	-7.615776041666667
67	7.892961805555556	8.267857638888888	8.733420138888889	8.945138888888888	5.210322916666667	3.3779947916666666	4.664638888888889	-10.741305555555556	-10.033430555555555	-9.208277777777779	-9.156453125	-9.016501736111111	-8.761241319444444	-8.115588541666668	-7.558375
68	7.846164930555556	8.231114583333333	8.708663194444444	8.931788194444445	5.218911458333333	3.386189236111111	4.673291666666667	-11.850994791666666	-10.604753472222223	-9.651517361111111	-9.431404513888888	-9.081578125	-8.703559027777777	-8.033255208333333	-7.497508680555556
69	7.801199652777778	8.187921875	8.66185763888889	8.901163194444445	5.216786458333333	3.391767361111111	4.673197916666666	-11.463208333333334	-10.843114583333334	-9.957592013888888	-9.742048611111112	-9.281269097222223	-8.741579861111111	-7.9755520833333335	-7.443041666666667
70	7.833418402777778	8.205612847222223	8.670381944444445	8.897586805555555	5.207446180555555	3.394251736111111	4.666744791666667	-10.09300173611111	-10.400440972222222	-9.669263888888889	-9.616675347222222	-9.32420138888889	-8.796666666666667	-7.949748263888888	-7.403501736111111
71	7.883407986111111	8.252619791666666	8.717690972222222	8.930833333333332	5.210960069444445	3.392534722222222	4.67046875	-10.280395833333333	-10.09429861111111	-9.32459201388889	-9.312390624999999	-9.157621527777778	-8.760302083333332	-7.939137152777778	-7.379807291666666
72	7.8979461805555555	8.270505208333335	8.724965277777777	8.934409722222222	5.2220781249999995	3.395855902777778	4.677895833333333	-9.544965277777777	-9.935503472222223	-9.226555555555555	-9.252381944444444	-9.070461805555556	-8.676305555555555	-7.910598958333333	-7.359144097222222
73	8.002199652777778	8.367927083333335	8.808489583333333	8.989305555555555	5.234	3.4013871527777777	4.682314236111111	-8.744034722222223	-9.182036458333334	-8.510640625	-8.702210069444444	-8.781723958333332	-8.564918402777778	-7.869994791666667	-7.331638888888889
74	8.087743055555556	8.442526041666666	8.874722222222221	9.038385416666667	5.257480902777778	3.4071927083333335	4.692817708333333	-7.32978125	-8.58075	-8.074638888888888	-8.328222222222223	-8.48767013888889	-8.372701388888888	-7.807067708333333	-7.295447916666666
75	8.194164930555555	8.566423611111112	8.9865625	9.131041666666667	5.285355902777778	3.414159722222222	4.706994791666666	-7.720553819444444	-8.30815798611111	-7.6354114583333335	-7.833828125	-8.104753472222223	-8.150921875000002	-7.6506059027777775	-7.243697916666667
76	8.167916666666667	8.553402777777777	8.997534722222222	9.162239583333333	5.317392361111111	3.425817708333333	4.722223958333333	-8.423163194444445	-8.561152777777778	-7.793239583333333	-7.847036458333333	-7.927741319444445	-7.9350451388888885	-7.369279513888889	-7.175951388888889
77	8.110100694444444	8.504913194444445	8.96498263888889	9.147552083333334	5.3336701388888885	3.4350416666666668	4.733625	-8.947649305555554	-8.961328125	-8.140767361111111	-8.076402777777776	-7.954065972222222	-7.822852430555556	-7.487659722222222	-7.096708333333333
78	8.11276736111111	8.49953125	8.955625	9.146024305555555	5.338986111111111	3.4449149305555555	4.736119791666667	-8.354022569444444	-8.855303819444444	-8.093428819444444	-8.109284722222222	-8.008703125	-7.799696180555556	-7.400791666666667	-7.020795138888889
79	8.098392361111111	8.491545138888888	8.957204861111112	9.159965277777777	5.341704861111111	3.451217013888889	4.743008680555556	-8.722234375	-8.987572916666666	-8.18712326388889	-8.122557291666666	-7.986109375	-7.770744791666667	-7.119836805555556	-6.957821180555555
80	8.094385416666666	8.484392361111112	8.953975694444445	9.159565972222222	5.346114583333334	3.4554149305555555	4.749385416666667	-8.549435763888889	-8.991187499999999	-8.214375	-8.161885416666665	-8.012928819444443	-7.755810763888889	-7.291388888888889	-6.90496875
81	8.079821180555555	8.473559027777778	8.942013888888889	9.149427083333332	5.3461614583333334	3.4594947916666667	4.756588541666667	-8.833477430555556	-9.089762152777778	-8.288892361111111	-8.209899305555556	-8.031407986111113	-7.749704861111112	-7.254920138888889	-6.863156249999999
82	8.082815972222221	8.475850694444444	8.936059027777778	9.13078125	5.346694444444444	3.462559027777778	4.759546875	-8.641690972222221	-9.029635416666666	-8.276927083333334	-8.220578125	-8.05590451388889	-7.750968749999999	-7.225928819444444	-6.828982638888888
83	8.0715	8.470277777777778	8.932621527777778	9.128871527777777	5.348559027777778	3.4648680555555558	4.759255208333333	-9.220335069444445	-9.219232638888888	-8.404762152777778	-8.277732638888889	-8.056881944444445	-7.7443559027777775	-7.20371875	-6.799163194444445
84	8.071289930555555	8.46796875	8.927031249999999	9.124270833333334	5.3472534722222225	3.4676354166666665	4.7546510416666665	-9.145118055555557	-9.193178819444444	-8.442223958333333	-8.330159722222222	-8.10303298611111	-7.751263888888889	-7.184682291666666	-6.776447916666667
